scriptNumber,scriptType,name,dialog,select1,select2,select3,select4,select5,answer,image,cuttoon,비고,QuizNumber,SoundEffect,,FALSE
2_1,nomal,Himchan,"Finally, I'm here! I was waiting for P_name here.",,,,,,,1,,,,Null,,
2_1,nomal,주인공,I'm glad Himchan was waiting for me.,,,,,,,9,,(멋쩍은 듯),,Null,,
2_1,nomal,Himchan,Exercising is more fun with two people than alone. Hahaha.,,,,,,,1,,,,himchan,,
2_1,nomal,Himchan,Let's warm up with some stretching today. Are you ready?,,,,,,,1,,,,Null,,
2_1,nomal,주인공,"Oh, I'm ready.",,,,,,,9,,,,Null,,
2_1,nomal,Himchan,"Remember, always exercise with your parents, get certified, and be careful.",,,,,,,1,,,,Null,,
2_1,video,Himchan,"First, do the Butterfly Stretch and squeeze your lower abdomen while sitting down! Hurray! Then, imagine someone pulling your hair from above. Your back will straighten up. Finally, let's straighten both shoulders up high. Pull your chin towards your body.",,,,,,,1,0,,,Null,,
2_1,videoEnd,Himchan,"Let's try the next movement, follow along!",,,,,,,1,,,,Null,,
2_1,video,Himchan,"First, do the Butterfly Stretch and squeeze your lower abdomen while sitting down! Hurray! Then, imagine someone pulling your hair from above. Your back will straighten up. Finally, let's straighten both shoulders up high. Pull your chin towards your body. ",,,,,,,1,1,,,Null,,
2_1,videoEnd,Himchan,"Let's try the next movement, follow along!",,,,,,,1,,,,Null,,
2_1,video,Himchan,"First, do the Dad Legs and squeeze your lower abdomen while sitting down! Hurray! Then, imagine someone pulling your hair from above. Your back will straighten up. Finally, let's straighten both shoulders up high. Pull your chin towards your body.",,,,,,,1,2,,,Null,,
2_1,videoEnd,주인공,Phew~ It's not as difficult as I thought. I feel like my body has become lighter.,,,,,,,9,,,,Null,,
2_1,nomal,Himchan,Nice! Let's do a more exciting workout next time. Woo-ha-ha.,,,,,,,1,,,,himchan,,
2_1,end,end,end,,,,,,,1,,,,Null,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
