scriptNumber,scriptType,name,dialog,select1,select2,select3,select4,select5,answer,image,cuttoon,비고,QuizNumber,SoundEffect,,FALSE
33_1,nomal,엄마,P_name아!  엄마랑 아빠 왔다! ,,,,,,,10,,,,Null,,
33_1,nomal,주인공,"엄마~ 아빠~ 잘 오셨어요, 헤헤헤",,,,,,,9,,,,Null,,
33_1,nomal,주인공,너무 너무 보고 싶었어요. ,,,,,,,9,,,,Null,,
33_1,nomal,아빠,우리도 네가 많이 보고 싶었단다! ,,,,,,,11,,,,Null,,
33_1,nomal,엄마,P_name이가 그동안 희망둥둥섬에서 잘 지냈나보구나! ,,,,,,,10,,,,Null,,
33_1,nomal,아빠,그러게.  P_name이가 무척 즐거워보이네.,,,,,,,11,,,,Null,,
33_1,nomal,아빠,낯선 섬 생활은 어땠니? ,,,,,,,11,,,,Null,,
33_1,nomal,주인공,섬에 사는 친구들이랑 많이 친해졌어요. 운동도 같이 하고 음식도 같이 먹었어요. ,,,,,,,9,,,,Null,,
33_1,nomal,엄마,그랬구나. ,,,,,,,10,,,,Null,,
33_1,nomal,엄마,그래서 전보다 표정도 밝아지고 웃음도 많아지고. ,,,,,,,10,,(과거의 모습과 현재의 모습을 Before-After로 띄워서 하나하나 비교한다.) 2컷 있음,,Null,,
33_2,Panorama,엄마,무엇보다 건강해져서 기쁘구나. ,,,,,,,10,1,위 과거 여기 현재,,Null,,
33_2,nomal,아빠,보기 좋구나. 안심도 되고. ,,,,,,,11,,,,Null,,
33_2,nomal,아빠,그렇다면 P_name이가 이 섬에서 더 지내도 괜찮을 것 같은데!,,,,,,,11,,,,Null,,
33_2,nomal,엄마,P_name이의 생각은 어떠니? ,,,,,,,10,,,,Null,,
33_2,nomal,엄마,"엄마, 아빠는 너만 좋다면 찬성이야. ",,,,,,,10,,,,Null,,
33_2,nomal,엄마,과연 P_name이의 선택은? 두구두구두구 ,,,,,,,10,,,,Null,,
33_2,nomal,주인공,희망둥둥섬에 더 있고 싶어요.,,,,,,,9,,,,Null,,
33_2,nomal,주인공,친구들도 좋고 섬 어른들도 모두 좋아요. ,,,,,,,9,,,,Null,,
33_2,ReloadEnd,end,end,,,,,,,10,,,,Null,,
