scriptNumber,scriptType,name,dialog,select1,select2,select3,select4,select5,answer,image,cuttoon,비고,QuizNumber,SoundEffect,,FALSE
01_1,nomal,나리,P_name아!  나 예쁘게 사진 좀 찍어줄 수 있니?  ,,,,,,,5,,(이를 드러내며 웃는다),,Null,,
01_1,nomal,주인공,어. 그럴게. 어떤 사진을 찍고 싶은데? ,,,,,,,9,,,,Null,,
01_1,nomal,나리,내가 양치질하는 모습을 찍어줘. 다람.,,,,,,,5,,(충격 받은 표정으로),,nari,,
01_1,nomal,주인공,양치질 하는 모습을 찍어달라고?,,,,,,,9,,(당황),,Null,,
01_1,nomal,나리,"어, 치카치카 양치질 사진 콘테스트에 낼 사진이거든. ",,,,,,,5,,"주인공의 이를 확대해서 보여준다. 누렇고, 치석이 껴있고, 음식물도 그득함. 어금니 쪽엔 충치도(앞니와 입을 벌린 모습 둘 다 보여줌)",,Null,,
01_1,nomal,주인공,양치질 사진 콘테스트가 있어? ,,,,,,,9,,(머쓱해 하며),,Null,,
01_1,nomal,나리,어. 건강한 치아가 얼마나 중요한지 알리기 위한 행사래. 그래서 나도 참가하려고. 다람.,,,,,,,5,,,,Null,,
01_1,nomal,주인공,그러고보니 나리의 이는 깨끗하고 건강해보인다.,,,,,,,9,,,,Null,,
01_1,nomal,주인공,나는 깜빡 잊고 양치질을 안할 때가 많거든. ,,,,,,,9,,,,Null,,
01_1,nomal,주인공,그래서 이도 깨끗하지 않고 콕콕 아플 때도 있어. ,,,,,,,9,,,,Null,,
01_1,nomal,나리,건강한 치아의 기본은 양치질이래. 다람.,,,,,,,5,,,,Null,,
01_1,nomal,나리,양치질을 잘 해야 충치도 예방할 수 있대. ,,,,,,,5,,,,Null,,
01_1,nomal,나리,이번에 양치질 사진 콘테스트에 참가하려고 건강한 치아에 대해 공부했거든. ,,,,,,,5,,,,Null,,
01_1,nomal,주인공,그럼 난 어쩌지?  ,,,,,,,9,,(시무룩해 하며),,Null,,
01_1,nomal,나리,"어쩌긴, 올바른 양치법을 배워서 양치질을 잘 하면 되지. ",,,,,,,5,,,,Null,,
01_1,nomal,나리,내가 공부한 대로 알려줄게. 다람. ,,,,,,,5,,,,nari,,
01_1,Tooth,나리,어릴 때부터 올바른 양치 습관을 가져야 한대. 다람.,,,,,,,5,0,,,Null,,
01_2,nomal,나리,어릴 때부터 올바른 양치 습관을 가져야 한대. 다람. ,,,,,,,5,,,,Null,,
01_2,nomal,나리,올바른 양치 습관은 333 법칙이 기본! ,,,,,,,5,,,,Null,,
01_2,nomal,나리,"하루에 3 번, 식사 후 3분 안에, 3분 동안 양치질 하기! ",,,,,,,5,,,,Null,,
01_2,nomal,나리,입 안 구석구석을 빠짐없이 싹싹 닦아주는 것도 중요해. 다람.,,,,,,,5,,,,Null,,
01_2,Tooth,나리,"앞니의 겉쪽과 어금니 바깥쪽, 안쪽은 잇몸에서부터 이가 난 방향으로 쓱쓱싹싹!",,,,,,,5,1,,,Chikachika,,
01_2,Tooth,나리,앞니의 안쪽은 칫솔을 세워서 입 안쪽에서 바깥쪽으로 둥글게 쓸어내며 쓱쓱싹싹! ,,,,,,,5,2,,,Chikachika,,
01_2,Tooth,나리,음식을 씹는 면은 앞 뒤로 문지르며 쓱쓱싹싹! ,,,,,,,5,3,,,Chikachika,,
01_2,nomal,나리,칫솔이 잘 닿지 않는 안쪽 어금니도 빠짐없이 쓱싹쓱싹! ,,,,,,,5,,,,Null,,
01_2,Tooth,나리,잊지말고 혀도 부드럽게 살살 닦아주고.,,,,,,,5,4,,,Chikachika,,
01_2,Tooth,나리,양치질 후에는 치실로 이 사이에 낀 음식물 쏙쏙 빼주고. ,,,,,,,5,5,(모션),,Chikachika,,
01_2,Tooth,나리,앗차차!  충치를 예방하려면 음식 먹는 습관도 중요하대. 다람.,,,,,,,5,6,,,Null,,
01_2,nomal,나리,"물을 자주 마시고, 음식을 30번 이상 꼭꼭 씹어 먹고",,,,,,,5,,,,Null,,
01_2,nomal,나리,"잠자기 전에는 음식을 먹지 않고, 달콤한 음식도 적게 먹는 게 좋대. ",,,,,,,5,,,,Null,,
01_2,nomal,주인공,에휴~ 알아야할 것도 많고 해야할 것도 많잖아.,,,,,,,9,,,,Null,,
01_2,nomal,나리,매일 하다보면 습관이 생겨서 쉬워. ,,,,,,,5,,(엄한 표정으로) ,,Null,,
01_2,nomal,나리,지금 당장 올바른 양치 습관을 길러야해. 다람! ,,,,,,,5,,,,Null,,
01_2,nomal,나리,얍! 건강한 치아 만들기 미션 준비! ,,,,,,,5,,,,Null,,
01_2,nomal,나리,나리가 양치게임을 위한 하트를 줄테니 양치 미니게임을 플레이해봐!,,,,,,,5,,,,Null,,
01_2,nomal,나리,양치질을 완료하고 나면 보상을 받을 수 있어. 다람. ,,,,,,,5,,,,nari,,
01_2,nomal,주인공,알았어 지금 당장 양치하고 올게!,,,,,,,9,,,,Null,,
01_2,Tooth,end,z,,,,,,,,7,,,Null,,
02_1,nomal,엄마,P_name아! 우리 왔다~ ,,,,,,,10,,,,Null,,
02_1,nomal,주인공,"어? 또 오셨네요, 헤헤헤 ",,,,,,,9,,,,Null,,
